City,Continent,Latitude,Longitude,GHSL_Sum,Buildings_Sum,Error_Rate,MAE,RMSE
Moscow,Europe,55.7558,37.6173,93906384,96554775.14,0.1364046,0.297205005,0.885010763
Prague,Europe,50.0755,14.4378,59078470,44963728.72,0.952470197,1.002873786,5.363925109
Delhi,Asia,28.7041,77.1025,108142309,70694789.34,0.509089882,0.61374309,0.869820614
Sao Paulo,South America,-23.5505,-46.6333,150403181,162914701.4,-0.033707388,0.168648169,0.203891935
Bangkok,Asia,13.7563,100.5018,129155969,116108148.1,0.154019774,0.19177079,0.258990561
Taipei,Asia,25.033,121.5654,64796202,47654311.41,1.23975171,1.273039399,4.663480577
Seoul,Asia,37.5503,126.9971,102632451,54174168.34,2.740169881,2.760949346,17.85584253
Hong Kong,Asia,22.3193,114.1694,31894394,39012087.82,0.291975999,0.620849737,1.887765791
San Francisco,North America,37.7749,-122.4194,39235393,39986052.4,4.804043573,4.889675975,88.76032489
Beijing,Asia,39.9042,116.4074,137491739,103489258,0.408346757,0.435029672,0.538710417
Seattle,North America,47.6062,-122.3321,51730259,46788650.21,0.342466581,0.39505196,2.24943938
Sydney,Oceania,-33.8688,151.2093,79135594,66072357.97,0.557614333,0.605869927,3.003795421
Chicago,North America,41.8781,-87.6298,74130933,74246243.65,0.402705839,0.493652514,4.306664356
NYC,Unknown,40.7128,-74.006,95933398,102995307.5,0.705374043,0.931420098,5.274050939
Amsterdam,Europe,52.3676,4.9041,55260730,50091786.64,2.671009612,2.775124079,24.65988632
Buenos Aires,South America,34.6037,58.3821,80569350,78534618.25,0.327296283,0.390629854,2.585253733
Berlin,Europe,52.52,13.405,90883535,83378000.73,0.665610184,0.755053412,6.872069097
Athens,Europe,37.9838,23.7275,91948609,80082736.5,1.123939968,1.220205803,8.872019377
Paris,Europe,48.8566,2.3522,121963399,123687834.9,0.155829699,0.305795349,0.789181795
Cairo,Africa,30.0444,31.2357,123038419,70890404.52,0.940516746,0.960477169,1.316216659
Bogota,South America,4.711,-74.0721,79019992,70502266,0.110997225,0.35855364,0.595541667
Shanghai,Asia,31.2304,-21.4737,130068841,102421449.9,0.323311601,0.356681273,0.444722336
Tokyo,Asia,35.6895,139.6917,155854023,143298638.6,0.186616186,0.233937986,0.777290196
Mumbai,Asia,19.076,72.8777,55551873,59441767.54,0.095955484,0.298488753,0.983632937
Singapore,Asia,1.3521,103.8198,68439173,78112822.41,-0.039723605,0.355244375,0.796027252
Toronto,North America,43.6532,-79.3832,69784780,56778287.42,0.38013063,0.422832786,1.717903034
Los Angeles,North America,34.0522,-118.2437,137696627,120249318,0.312228807,0.36267868,1.347745317
London,Europe,51.5074,-0.1278,112126586,106452436.9,0.171243495,0.26514384,0.633576379