City,Continent,Latitude,Longitude,GHSL_Sum,Buildings_Sum,MAE,RMSE,MAPE
Moscow,Europe,55.7558,37.6173,93906384,96554775.14,24736.98053,45736.54424,29.70393491
Prague,Europe,50.0755,14.4378,59078470,44963728.72,25258.41877,34271.16611,101.1437331
Delhi,Asia,28.7041,77.1025,108142309,70694789.34,72597.74189,94680.5809,61.37430866
Ṣo Paulo,South America,-23.5505,-46.6333,150403181,162914701.4,56773.60608,71734.18117,16.86481701
Bangkok,Asia,13.7563,100.5018,129155969,116108148.1,39513.44196,46908.90276,19.17707899
Taipei,Asia,25.033,121.5654,64796202,47654311.41,38014.78556,53990.52376,128.0333389
Seoul,Asia,37.5503,126.9971,102632451,54174168.34,87280.47745,106361.0948,281.0955316
Hong Kong,Asia,22.3193,114.1694,31894394,39012087.82,28171.99458,64432.11364,77.81390879
San Francisco,North America,37.7749,-122.4194,39235393,39986052.4,13660.89789,33474.63893,932.687086
Beijing,Asia,39.9042,116.4074,137491739,103489258,62201.3026,69913.05044,43.5029672
Seattle,North America,47.6062,-122.3321,51730259,46788650.21,15008.1817,28334.25956,54.69237545
Sydney,Oceania,-33.8688,151.2093,79135594,66072357.97,33366.78896,46504.96531,68.15620597
Chicago,North America,41.8781,-87.6298,74130933,74246243.65,30658.94227,124926.1574,80.09051767
NYC,North America,40.7128,-74.006,95933398,102995307.5,40805.22141,72700.21479,98.53287913
Melbourne,Oceania,-37.8136,144.9631,104546557,90792282.48,38753.71016,54749.03912,410.9514885
Amsterdam,Europe,52.3676,4.9041,55260730,50091786.64,20003.54281,32425.33482,296.7277812
Buenos Aires,South America,34.6037,58.3821,80569350,78534618.25,20082.81375,35458.94903,61.3334133
Berlin,Europe,52.52,13.405,90883535,83378000.73,24052.62781,32275.99678,75.63852862
Athens,Europe,37.9838,23.7275,91948609,80082736.5,34251.84204,51285.57358,136.4386557
Paris,Europe,48.8566,2.3522,121963399,123687834.9,40670.5786,55312.28046,30.47607688
Cairo,Africa,30.0444,31.2357,123038419,70890404.52,96510.79198,115410.0511,96.0477167
Bogota,South America,4.711,74.0721,79019992,70502266,40298.33096,63668.14483,36.07233242
Shanghai,Asia,31.2304,21.4737,130068841,102421449.9,58431.25903,68280.21713,35.66812739
Tokyo,Asia,35.6895,139.6917,155854023,143298638.6,33821.5086,44650.90322,23.00493469
Mumbai,Asia,19.076,72.8777,55551873,59441767.54,26844.3847,126520.4281,36.66718595
Johannesburg,Africa,-26.2041,28.0473,108024002,87869511.99,61582.17877,72588.344,70.20158482
Singapore,Asia,1.3521,103.8198,68439173,78112822.41,33963.59391,58035.30856,36.18946539
Cape Town,Africa,-33.9249,18.4241,39764135,35451937.41,13896.00904,27169.42483,68.39031905
Santiago,South America,-33.4489,-70.6693,122786447,127043867.9,37437.46315,57576.78241,24.26926616
Toronto,North America,43.6532,-79.3832,69784780,56778287.42,28321.52848,42790.91662,62.54558287
Auckland,Oceania,-36.8509,174.7645,96410611,51466124.06,79746.74487,108435.7719,102.2418604
Los Angeles,North America,34.0522,-118.2437,137696627,120249318,47718.43348,57228.54054,36.2196853
London,Europe,51.5074,-0.1278,112126586,106452436.9,29574.63652,41603.05621,26.55050711